




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (5801)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (FDR)
macromolecule localization (GO:0033036)	2496	1021	703.05	+	1.45	5.02E-26	1.35E-23
chromosome organization (GO:0051276)	1064	526	299.70	+	1.76	5.72E-26	1.51E-23
establishment of protein localization (GO:0045184)	1397	646	393.49	+	1.64	7.24E-26	1.87E-23
regulation of macromolecule metabolic process (GO:0060255)	6340	2212	1785.79	+	1.24	1.30E-25	3.32E-23
cellular response to stress (GO:0033554)	1741	764	490.39	+	1.56	1.57E-25	3.94E-23
cellular catabolic process (GO:0044248)	1812	786	510.39	+	1.54	3.35E-25	8.28E-23
translation (GO:0006412)	387	255	109.01	+	2.34	1.04E-24	2.53E-22
adaptive immune response (GO:0002250)	658	56	185.34	-	.30	1.30E-24	3.11E-22
cellular component assembly (GO:0022607)	2494	1008	702.49	+	1.43	3.25E-24	7.67E-22
protein transport (GO:0015031)	1300	602	366.17	+	1.64	3.46E-24	8.05E-22
Unclassified (UNCLASSIFIED)	2744	496	772.90	-	.64	3.98E-24	8.99E-22
biological_process (GO:0008150)	17851	5305	5028.10	+	1.06	3.98E-24	9.12E-22
regulation of macromolecule biosynthetic process (GO:0010556)	3999	1485	1126.40	+	1.32	8.60E-24	1.91E-21
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1475	1117.67	+	1.32	9.40E-24	2.06E-21
peptide biosynthetic process (GO:0043043)	414	263	116.61	+	2.26	1.03E-23	2.23E-21
regulation of cellular biosynthetic process (GO:0031326)	4163	1534	1172.59	+	1.31	1.42E-23	3.04E-21
regulation of biosynthetic process (GO:0009889)	4226	1552	1190.34	+	1.30	2.01E-23	4.23E-21
establishment of localization in cell (GO:0051649)	2335	947	657.70	+	1.44	4.48E-23	9.32E-21
nitrogen compound transport (GO:0071705)	1708	737	481.09	+	1.53	4.86E-23	9.97E-21
cellular macromolecule localization (GO:0070727)	1480	656	416.87	+	1.57	1.12E-22	2.26E-20
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	1489	1140.48	+	1.31	1.94E-22	3.88E-20
ribosome biogenesis (GO:0042254)	329	221	92.67	+	2.38	2.85E-22	5.64E-20
heterocycle biosynthetic process (GO:0018130)	1049	501	295.47	+	1.70	2.93E-22	5.71E-20
cell cycle (GO:0007049)	1316	596	370.68	+	1.61	3.54E-22	6.83E-20
amide biosynthetic process (GO:0043604)	537	307	151.26	+	2.03	4.26E-22	8.11E-20
protein localization to organelle (GO:0033365)	742	386	209.00	+	1.85	5.48E-22	1.03E-19
cellular protein localization (GO:0034613)	1470	648	414.06	+	1.57	6.66E-22	1.24E-19
catabolic process (GO:0009056)	2096	859	590.38	+	1.45	8.13E-22	1.49E-19
protein-containing complex assembly (GO:0065003)	1358	606	382.51	+	1.58	2.01E-21	3.66E-19
organonitrogen compound biosynthetic process (GO:1901566)	1379	612	388.42	+	1.58	2.83E-21	5.09E-19
nucleobase-containing compound biosynthetic process (GO:0034654)	975	467	274.63	+	1.70	6.51E-21	1.16E-18
mRNA processing (GO:0006397)	486	281	136.89	+	2.05	7.61E-21	1.34E-18
aromatic compound biosynthetic process (GO:0019438)	1060	497	298.57	+	1.66	7.92E-21	1.38E-18
cellular response to DNA damage stimulus (GO:0006974)	793	399	223.36	+	1.79	9.42E-21	1.62E-18
cellular protein-containing complex assembly (GO:0034622)	867	426	244.21	+	1.74	1.08E-20	1.84E-18
posttranscriptional regulation of gene expression (GO:0010608)	581	318	163.65	+	1.94	1.19E-20	2.00E-18
intracellular protein transport (GO:0006886)	781	392	219.98	+	1.78	2.72E-20	4.52E-18
organic substance catabolic process (GO:1901575)	1769	738	498.27	+	1.48	4.21E-20	6.93E-18
peptide metabolic process (GO:0006518)	544	299	153.23	+	1.95	9.31E-20	1.52E-17
regulation of gene expression (GO:0010468)	4922	1730	1386.38	+	1.25	1.44E-19	2.33E-17
regulation of cell cycle (GO:0051726)	1164	524	327.86	+	1.60	3.77E-19	6.02E-17
rRNA processing (GO:0006364)	262	180	73.80	+	2.44	4.47E-19	7.07E-17
rRNA metabolic process (GO:0016072)	272	184	76.61	+	2.40	5.70E-19	8.93E-17
regulation of catabolic process (GO:0009894)	1066	486	300.26	+	1.62	1.41E-18	2.17E-16
RNA splicing (GO:0008380)	409	240	115.20	+	2.08	1.40E-18	2.18E-16
regulation of RNA metabolic process (GO:0051252)	3782	1370	1065.28	+	1.29	1.81E-18	2.76E-16
protein modification by small protein conjugation or removal (GO:0070647)	1035	474	291.53	+	1.63	2.08E-18	3.13E-16
organic cyclic compound biosynthetic process (GO:1901362)	1196	530	336.88	+	1.57	2.61E-18	3.89E-16
humoral immune response (GO:0006959)	386	26	108.72	-	.24	3.49E-18	5.15E-16
cellular amide metabolic process (GO:0043603)	820	395	230.97	+	1.71	4.13E-18	6.05E-16
DNA metabolic process (GO:0006259)	777	379	218.86	+	1.73	4.46E-18	6.47E-16
mitotic cell cycle (GO:0000278)	750	369	211.25	+	1.75	4.86E-18	6.99E-16
positive regulation of cellular metabolic process (GO:0031325)	3314	1218	933.46	+	1.30	9.03E-18	1.29E-15
regulation of cellular catabolic process (GO:0031329)	899	419	253.22	+	1.65	2.40E-17	3.38E-15
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1152	879.66	+	1.31	4.28E-17	5.98E-15
protein catabolic process (GO:0030163)	697	343	196.32	+	1.75	7.00E-17	9.70E-15
regulation of translation (GO:0006417)	415	235	116.89	+	2.01	7.32E-17	1.01E-14
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	189	85.35	+	2.21	9.03E-17	1.21E-14
chromatin organization (GO:0006325)	703	345	198.01	+	1.74	8.89E-17	1.21E-14
mRNA splicing, via spliceosome (GO:0000398)	303	189	85.35	+	2.21	9.03E-17	1.22E-14
RNA splicing, via transesterification reactions (GO:0000375)	306	190	86.19	+	2.20	1.19E-16	1.58E-14
RNA biosynthetic process (GO:0032774)	543	284	152.95	+	1.86	1.39E-16	1.83E-14
nucleic acid-templated transcription (GO:0097659)	531	279	149.57	+	1.87	1.45E-16	1.88E-14
DNA repair (GO:0006281)	531	279	149.57	+	1.87	1.45E-16	1.89E-14
cell cycle process (GO:0022402)	957	435	269.56	+	1.61	1.54E-16	1.98E-14
transcription, DNA-templated (GO:0006351)	530	278	149.29	+	1.86	1.93E-16	2.46E-14
cellular protein catabolic process (GO:0044257)	644	321	181.40	+	1.77	2.06E-16	2.60E-14
defense response to bacterium (GO:0042742)	350	24	98.58	-	.24	2.14E-16	2.69E-14
mitotic cell cycle process (GO:1903047)	675	332	190.13	+	1.75	2.35E-16	2.93E-14
regulation of cellular amide metabolic process (GO:0034248)	479	258	134.92	+	1.91	2.39E-16	2.95E-14
signaling (GO:0023052)	5565	1262	1567.50	-	.81	2.65E-16	3.25E-14
establishment of protein localization to organelle (GO:0072594)	394	224	110.98	+	2.02	3.41E-16	4.11E-14
organic substance transport (GO:0071702)	2079	811	585.59	+	1.38	3.39E-16	4.13E-14
keratinization (GO:0031424)	227	8	63.94	-	.13	5.96E-16	7.14E-14
RNA catabolic process (GO:0006401)	248	162	69.85	+	2.32	7.03E-16	8.36E-14
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	305	171.54	+	1.78	7.18E-16	8.47E-14
modification-dependent macromolecule catabolic process (GO:0043632)	563	288	158.58	+	1.82	7.53E-16	8.82E-14
positive regulation of metabolic process (GO:0009893)	3820	1355	1075.98	+	1.26	1.05E-15	1.22E-13
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	138	54.93	+	2.51	1.06E-15	1.22E-13
ubiquitin-dependent protein catabolic process (GO:0006511)	545	279	153.51	+	1.82	1.62E-15	1.86E-13
defense response (GO:0006952)	1426	242	401.66	-	.60	2.03E-15	2.31E-13
modification-dependent protein catabolic process (GO:0019941)	552	281	155.48	+	1.81	2.26E-15	2.55E-13
viral process (GO:0016032)	444	239	125.06	+	1.91	3.01E-15	3.38E-13
cell communication (GO:0007154)	5656	1297	1593.13	-	.81	3.13E-15	3.48E-13
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1258	992.04	+	1.27	3.70E-15	4.09E-13
mRNA catabolic process (GO:0006402)	215	145	60.56	+	2.39	4.43E-15	4.86E-13
negative regulation of metabolic process (GO:0009892)	3095	1123	871.77	+	1.29	6.22E-15	6.78E-13
regulation of cell cycle process (GO:0010564)	792	363	223.08	+	1.63	3.01E-14	3.26E-12
negative regulation of macromolecule metabolic process (GO:0010605)	2880	1049	811.21	+	1.29	3.19E-14	3.43E-12
mitochondrion organization (GO:0007005)	468	243	131.82	+	1.84	4.39E-14	4.69E-12
protein modification by small protein conjugation (GO:0032446)	822	372	231.53	+	1.61	5.81E-14	6.16E-12
protein targeting (GO:0006605)	322	185	90.70	+	2.04	6.04E-14	6.36E-12
immune response (GO:0006955)	2075	402	584.47	-	.69	8.71E-14	9.12E-12
ribonucleoprotein complex subunit organization (GO:0071826)	196	131	55.21	+	2.37	1.41E-13	1.47E-11
negative regulation of cellular metabolic process (GO:0031324)	2613	957	736.00	+	1.30	2.22E-13	2.30E-11
nucleobase-containing compound catabolic process (GO:0034655)	373	202	105.06	+	1.92	2.93E-13	3.01E-11
regulation of mitotic cell cycle (GO:0007346)	588	283	165.62	+	1.71	3.22E-13	3.28E-11
translational initiation (GO:0006413)	143	106	40.28	+	2.63	4.11E-13	4.17E-11
regulation of protein metabolic process (GO:0051246)	2665	970	750.65	+	1.29	4.65E-13	4.68E-11
regulation of mRNA metabolic process (GO:1903311)	376	202	105.91	+	1.91	5.06E-13	5.06E-11
viral gene expression (GO:0019080)	172	118	48.45	+	2.44	6.11E-13	6.07E-11
regulation of cellular protein metabolic process (GO:0032268)	2501	917	704.46	+	1.30	6.82E-13	6.74E-11
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	738	546.72	+	1.35	7.25E-13	7.12E-11
response to bacterium (GO:0009617)	721	102	203.08	-	.50	9.14E-13	8.92E-11
signal transduction (GO:0007165)	5227	1211	1472.29	-	.82	9.67E-13	9.37E-11
establishment of protein localization to membrane (GO:0090150)	313	176	88.16	+	2.00	9.87E-13	9.45E-11
complement activation (GO:0006956)	177	6	49.86	-	.12	9.84E-13	9.48E-11
ribonucleoprotein complex assembly (GO:0022618)	189	125	53.24	+	2.35	1.05E-12	9.98E-11
peptidyl-amino acid modification (GO:0018193)	886	386	249.56	+	1.55	1.17E-12	1.10E-10
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	899	690.94	+	1.30	1.18E-12	1.11E-10
biological adhesion (GO:0022610)	959	153	270.12	-	.57	1.62E-12	1.52E-10
cell adhesion (GO:0007155)	953	153	268.43	-	.57	2.51E-12	2.33E-10
regulation of cell cycle phase transition (GO:1901987)	522	254	147.03	+	1.73	2.57E-12	2.38E-10
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1212	978.80	+	1.24	3.19E-12	2.93E-10
regulation of transcription, DNA-templated (GO:0006355)	3474	1211	978.52	+	1.24	3.64E-12	3.33E-10
regulation of mitotic cell cycle phase transition (GO:1901990)	434	220	122.24	+	1.80	3.96E-12	3.60E-10
regulation of RNA biosynthetic process (GO:2001141)	3480	1212	980.21	+	1.24	4.30E-12	3.89E-10
cytoplasmic translation (GO:0002181)	122	92	34.36	+	2.68	5.80E-12	5.21E-10
proteasomal protein catabolic process (GO:0010498)	361	191	101.68	+	1.88	6.64E-12	5.93E-10
mitochondrial gene expression (GO:0140053)	142	101	40.00	+	2.53	7.62E-12	6.76E-10
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	702	524.75	+	1.34	1.16E-11	1.02E-09
tRNA metabolic process (GO:0006399)	190	121	53.52	+	2.26	1.15E-11	1.02E-09
organelle assembly (GO:0070925)	796	348	224.21	+	1.55	1.19E-11	1.04E-09
viral transcription (GO:0019083)	116	88	32.67	+	2.69	1.22E-11	1.06E-09
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	90	33.80	+	2.66	1.23E-11	1.06E-09
multicellular organismal process (GO:0032501)	6926	1679	1950.85	-	.86	1.26E-11	1.09E-09
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	181	95.20	+	1.90	1.41E-11	1.20E-09
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	600	436.87	+	1.37	1.76E-11	1.50E-09
protein ubiquitination (GO:0016567)	746	329	210.13	+	1.57	1.81E-11	1.53E-09
protein targeting to membrane (GO:0006612)	182	117	51.26	+	2.28	1.87E-11	1.57E-09
organonitrogen compound catabolic process (GO:1901565)	1091	447	307.30	+	1.45	1.92E-11	1.61E-09
defense response to other organism (GO:0098542)	1038	176	292.37	-	.60	2.13E-11	1.78E-09
negative regulation of biosynthetic process (GO:0009890)	1643	629	462.78	+	1.36	2.21E-11	1.83E-09
positive regulation of cellular biosynthetic process (GO:0031328)	1969	733	554.61	+	1.32	2.41E-11	1.98E-09
complement activation, classical pathway (GO:0006958)	161	6	45.35	-	.13	2.55E-11	2.09E-09
protein targeting to ER (GO:0045047)	112	85	31.55	+	2.69	3.01E-11	2.45E-09
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	594	433.77	+	1.37	3.16E-11	2.56E-09
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	87	32.67	+	2.66	3.25E-11	2.62E-09
transcription by RNA polymerase II (GO:0006366)	382	195	107.60	+	1.81	4.01E-11	3.22E-09
heterocycle catabolic process (GO:0046700)	417	208	117.46	+	1.77	4.32E-11	3.45E-09
negative regulation of cellular biosynthetic process (GO:0031327)	1610	615	453.49	+	1.36	5.14E-11	4.08E-09
cellular nitrogen compound catabolic process (GO:0044270)	423	210	119.15	+	1.76	5.48E-11	4.33E-09
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	7	46.48	-	.15	5.61E-11	4.41E-09
protein localization to endoplasmic reticulum (GO:0070972)	143	98	40.28	+	2.43	6.26E-11	4.90E-09
aromatic compound catabolic process (GO:0019439)	438	215	123.37	+	1.74	7.73E-11	6.02E-09
cell division (GO:0051301)	498	237	140.27	+	1.69	8.01E-11	6.21E-09
positive regulation of biosynthetic process (GO:0009891)	2004	739	564.47	+	1.31	8.69E-11	6.70E-09
peptidyl-lysine modification (GO:0018205)	305	164	85.91	+	1.91	9.34E-11	7.16E-09
positive regulation of cellular process (GO:0048522)	5741	1871	1617.07	+	1.16	1.12E-10	8.52E-09
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	585	430.39	+	1.36	1.14E-10	8.64E-09
positive regulation of RNA metabolic process (GO:0051254)	1773	664	499.40	+	1.33	1.28E-10	9.63E-09
nuclear transport (GO:0051169)	264	147	74.36	+	1.98	1.28E-10	9.67E-09
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	22	72.67	-	.30	2.53E-10	1.89E-08
translational elongation (GO:0006414)	127	89	35.77	+	2.49	2.56E-10	1.91E-08
nucleocytoplasmic transport (GO:0006913)	261	144	73.52	+	1.96	3.17E-10	2.35E-08
cotranslational protein targeting to membrane (GO:0006613)	101	76	28.45	+	2.67	4.11E-10	3.04E-08
protein-containing complex disassembly (GO:0032984)	228	130	64.22	+	2.02	4.62E-10	3.40E-08
negative regulation of gene expression (GO:0010629)	999	404	281.39	+	1.44	7.97E-10	5.83E-08
negative regulation of cell cycle (GO:0045786)	454	215	127.88	+	1.68	8.38E-10	6.11E-08
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	73	27.04	+	2.70	9.11E-10	6.61E-08
regulation of cellular response to stress (GO:0080135)	692	299	194.92	+	1.53	9.20E-10	6.64E-08
organic cyclic compound catabolic process (GO:1901361)	466	219	131.26	+	1.67	9.77E-10	7.02E-08
macromolecule methylation (GO:0043414)	257	140	72.39	+	1.93	1.05E-09	7.50E-08
methylation (GO:0032259)	313	162	88.16	+	1.84	1.12E-09	7.99E-08
covalent chromatin modification (GO:0016569)	367	182	103.37	+	1.76	1.17E-09	8.28E-08
innate immune response (GO:0045087)	848	143	238.86	-	.60	1.18E-09	8.30E-08
proteolysis (GO:0006508)	1306	504	367.86	+	1.37	1.27E-09	8.93E-08
histone modification (GO:0016570)	363	180	102.25	+	1.76	1.35E-09	9.43E-08
phagocytosis, recognition (GO:0006910)	106	2	29.86	-	.07	1.55E-09	1.08E-07
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	156	84.78	+	1.84	1.67E-09	1.16E-07
keratinocyte differentiation (GO:0030216)	270	26	76.05	-	.34	1.93E-09	1.33E-07
negative regulation of cell cycle process (GO:0010948)	368	181	103.65	+	1.75	2.24E-09	1.54E-07
mitochondrial translation (GO:0032543)	112	78	31.55	+	2.47	3.20E-09	2.19E-07
regulation of RNA stability (GO:0043487)	253	136	71.26	+	1.91	3.41E-09	2.33E-07
response to external biotic stimulus (GO:0043207)	1426	280	401.66	-	.70	3.54E-09	2.40E-07
localization within membrane (GO:0051668)	615	268	173.23	+	1.55	3.82E-09	2.58E-07
nuclear export (GO:0051168)	166	101	46.76	+	2.16	4.13E-09	2.78E-07
response to other organism (GO:0051707)	1425	280	401.38	-	.70	4.16E-09	2.79E-07
establishment of localization (GO:0051234)	4631	1521	1304.42	+	1.17	4.24E-09	2.83E-07
regulation of mRNA catabolic process (GO:0061013)	252	135	70.98	+	1.90	4.57E-09	3.04E-07
process utilizing autophagic mechanism (GO:0061919)	309	157	87.04	+	1.80	4.68E-09	3.08E-07
autophagy (GO:0006914)	309	157	87.04	+	1.80	4.68E-09	3.10E-07
regulation of organelle organization (GO:0033043)	1208	466	340.26	+	1.37	5.38E-09	3.53E-07
tRNA processing (GO:0008033)	134	87	37.74	+	2.31	6.17E-09	4.03E-07
protein modification by small protein removal (GO:0070646)	295	151	83.09	+	1.82	6.20E-09	4.03E-07
RNA localization (GO:0006403)	212	119	59.71	+	1.99	6.23E-09	4.04E-07
regulation of mRNA stability (GO:0043488)	241	130	67.88	+	1.92	6.70E-09	4.33E-07
protein-containing complex localization (GO:0031503)	259	137	72.95	+	1.88	6.75E-09	4.34E-07
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	17	58.59	-	.29	8.79E-09	5.62E-07
protein-DNA complex subunit organization (GO:0071824)	296	151	83.37	+	1.81	8.93E-09	5.69E-07
phagocytosis, engulfment (GO:0006911)	132	6	37.18	-	.16	1.11E-08	7.03E-07
negative regulation of RNA metabolic process (GO:0051253)	1408	528	396.59	+	1.33	1.13E-08	7.12E-07
cell-cell adhesion (GO:0098609)	515	76	145.06	-	.52	1.16E-08	7.32E-07
positive regulation of catabolic process (GO:0009896)	519	231	146.19	+	1.58	1.18E-08	7.37E-07
negative regulation of cell cycle phase transition (GO:1901988)	294	149	82.81	+	1.80	1.53E-08	9.59E-07
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	11	47.04	-	.23	1.54E-08	9.61E-07
inflammatory response (GO:0006954)	498	73	140.27	-	.52	1.61E-08	9.97E-07
ribonucleoprotein complex localization (GO:0071166)	127	82	35.77	+	2.29	1.79E-08	1.10E-06
response to external stimulus (GO:0009605)	2525	558	711.22	-	.78	1.82E-08	1.12E-06
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	20	62.53	-	.32	1.92E-08	1.18E-06
mitotic nuclear division (GO:0140014)	201	112	56.62	+	1.98	1.97E-08	1.20E-06
RNA modification (GO:0009451)	172	100	48.45	+	2.06	2.38E-08	1.45E-06
ribonucleoprotein complex export from nucleus (GO:0071426)	126	81	35.49	+	2.28	2.52E-08	1.53E-06
B cell receptor signaling pathway (GO:0050853)	129	6	36.34	-	.17	2.58E-08	1.55E-06
negative regulation of translation (GO:0017148)	184	105	51.83	+	2.03	2.60E-08	1.56E-06
opsonization (GO:0008228)	72	0	20.28	-	 < 0.01	2.75E-08	1.64E-06
protein localization to membrane (GO:0072657)	542	237	152.67	+	1.55	2.75E-08	1.65E-06
positive regulation of cellular catabolic process (GO:0031331)	450	204	126.75	+	1.61	3.28E-08	1.95E-06
RNA 3'-end processing (GO:0031123)	142	87	40.00	+	2.18	3.36E-08	1.99E-06
negative regulation of response to external stimulus (GO:0032102)	559	87	157.45	-	.55	3.55E-08	2.10E-06
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	119	62.53	+	1.90	3.65E-08	2.14E-06
DNA replication (GO:0006260)	273	139	76.90	+	1.81	3.77E-08	2.21E-06
peptide cross-linking (GO:0018149)	102	3	28.73	-	.10	3.92E-08	2.29E-06
regulation of protein catabolic process (GO:0042176)	398	185	112.10	+	1.65	3.96E-08	2.30E-06
